sample_id,sra_study,bioproject
SAMEA117318307,ERP160040,PRJEB75463
SAMEA117317274,ERP160040,PRJEB75463
SAMEA117320770,ERP160040,PRJEB75463
SAMEA117315865,ERP160040,PRJEB75463
SAMEA117318783,ERP160040,PRJEB75463
SAMEA117320433,ERP160040,PRJEB75463
SAMEA117321470,ERP160040,PRJEB75463
SAMEA117321296,ERP160040,PRJEB75463
SAMEA117313121,ERP160040,PRJEB75463
SAMEA117319545,ERP160040,PRJEB75463
SAMEA117320919,ERP160040,PRJEB75463
SAMEA117317861,ERP160040,PRJEB75463
SAMEA117319155,ERP160040,PRJEB75463
SAMEA117320094,ERP160040,PRJEB75463
SAMEA117318384,ERP160040,PRJEB75463
SAMEA117322141,ERP160040,PRJEB75463
SAMEA117320673,ERP160040,PRJEB75463
SAMEA117319151,ERP160040,PRJEB75463
SAMEA117311973,ERP160040,PRJEB75463
SAMEA117322221,ERP160040,PRJEB75463
SAMEA117321768,ERP160040,PRJEB75463
SAMEA117321685,ERP160040,PRJEB75463
SAMEA117313691,ERP160040,PRJEB75463
SAMEA117319227,ERP160040,PRJEB75463
SAMEA117320044,ERP160040,PRJEB75463
SAMEA117314032,ERP160040,PRJEB75463
SAMEA117316827,ERP160040,PRJEB75463
SAMEA117317293,ERP160040,PRJEB75463
SAMEA117318273,ERP160040,PRJEB75463
SAMEA117317412,ERP160040,PRJEB75463
SAMEA117319207,ERP160040,PRJEB75463
SAMEA117320384,ERP160040,PRJEB75463
SAMEA117321435,ERP160040,PRJEB75463
SAMEA117316198,ERP160040,PRJEB75463
SAMEA117315786,ERP160040,PRJEB75463
SAMEA117316822,ERP160040,PRJEB75463
SAMEA117315282,ERP160040,PRJEB75463
SAMEA117319393,ERP160040,PRJEB75463
SAMEA117312935,ERP160040,PRJEB75463
SAMEA117317149,ERP160040,PRJEB75463
SAMEA117322335,ERP160040,PRJEB75463
SAMEA117314113,ERP160040,PRJEB75463
SAMEA117320079,ERP160040,PRJEB75463
SAMEA117317178,ERP160040,PRJEB75463
SAMEA117318075,ERP160040,PRJEB75463
SAMEA117316702,ERP160040,PRJEB75463
SAMEA117322064,ERP160040,PRJEB75463
SAMEA117315029,ERP160040,PRJEB75463
SAMEA117317835,ERP160040,PRJEB75463
SAMEA117319242,ERP160040,PRJEB75463
SAMEA117317819,ERP160040,PRJEB75463
SAMEA117317860,ERP160040,PRJEB75463
SAMEA117319224,ERP160040,PRJEB75463
SAMEA117316839,ERP160040,PRJEB75463
SAMEA117318463,ERP160040,PRJEB75463
SAMEA117314741,ERP160040,PRJEB75463
SAMEA117321413,ERP160040,PRJEB75463
SAMEA117316313,ERP160040,PRJEB75463
SAMEA117321815,ERP160040,PRJEB75463
SAMEA117321790,ERP160040,PRJEB75463
SAMEA117318820,ERP160040,PRJEB75463
SAMEA117315344,ERP160040,PRJEB75463
SAMEA117317539,ERP160040,PRJEB75463
SAMEA117317917,ERP160040,PRJEB75463
SAMEA117321405,ERP160040,PRJEB75463
SAMEA117314415,ERP160040,PRJEB75463
SAMEA117313988,ERP160040,PRJEB75463
SAMEA117316723,ERP160040,PRJEB75463
SAMEA117322019,ERP160040,PRJEB75463
SAMEA117314836,ERP160040,PRJEB75463
SAMEA117312004,ERP160040,PRJEB75463
SAMEA117319502,ERP160040,PRJEB75463
SAMEA117317023,ERP160040,PRJEB75463
SAMEA117313261,ERP160040,PRJEB75463
SAMEA117321052,ERP160040,PRJEB75463
SAMEA117315371,ERP160040,PRJEB75463
SAMEA117321481,ERP160040,PRJEB75463
SAMEA117317553,ERP160040,PRJEB75463
SAMEA117318449,ERP160040,PRJEB75463
SAMEA117321231,ERP160040,PRJEB75463
SAMEA117320284,ERP160040,PRJEB75463
SAMEA117321709,ERP160040,PRJEB75463
SAMEA117322130,ERP160040,PRJEB75463
SAMEA117322059,ERP160040,PRJEB75463
SAMEA117315297,ERP160040,PRJEB75463
SAMEA117322169,ERP160040,PRJEB75463
SAMEA117317403,ERP160040,PRJEB75463
SAMEA117319049,ERP160040,PRJEB75463
SAMEA117318551,ERP160040,PRJEB75463
SAMEA117316686,ERP160040,PRJEB75463
SAMEA117316938,ERP160040,PRJEB75463
SAMEA117313134,ERP160040,PRJEB75463
SAMEA117312693,ERP160040,PRJEB75463
SAMEA117319901,ERP160040,PRJEB75463
SAMEA117317956,ERP160040,PRJEB75463
SAMEA117312515,ERP160040,PRJEB75463
SAMEA117320257,ERP160040,PRJEB75463
SAMEA117313873,ERP160040,PRJEB75463
SAMEA117321689,ERP160040,PRJEB75463
SAMEA117318677,ERP160040,PRJEB75463
SAMEA117314367,ERP160040,PRJEB75463
SAMEA117320957,ERP160040,PRJEB75463
SAMEA117322463,ERP160040,PRJEB75463
SAMEA117313407,ERP160040,PRJEB75463
SAMEA117314358,ERP160040,PRJEB75463
SAMEA117316684,ERP160040,PRJEB75463
SAMEA117322039,ERP160040,PRJEB75463
SAMEA117312699,ERP160040,PRJEB75463
SAMEA117321484,ERP160040,PRJEB75463
SAMEA117320542,ERP160040,PRJEB75463
SAMEA117312389,ERP160040,PRJEB75463
SAMEA117318377,ERP160040,PRJEB75463
SAMEA117320089,ERP160040,PRJEB75463
SAMEA117317163,ERP160040,PRJEB75463
SAMEA117320572,ERP160040,PRJEB75463
SAMEA117312421,ERP160040,PRJEB75463
SAMEA117313575,ERP160040,PRJEB75463
SAMEA117314724,ERP160040,PRJEB75463
SAMEA117319129,ERP160040,PRJEB75463
SAMEA117321998,ERP160040,PRJEB75463
SAMEA117321608,ERP160040,PRJEB75463
SAMEA117316476,ERP160040,PRJEB75463
SAMEA117319278,ERP160040,PRJEB75463
SAMEA117315272,ERP160040,PRJEB75463
SAMEA117321415,ERP160040,PRJEB75463
SAMEA117320483,ERP160040,PRJEB75463
SAMEA117321104,ERP160040,PRJEB75463
SAMEA117318741,ERP160040,PRJEB75463
SAMEA117314295,ERP160040,PRJEB75463
SAMEA117316378,ERP160040,PRJEB75463
SAMEA117318413,ERP160040,PRJEB75463
SAMEA117313733,ERP160040,PRJEB75463
SAMEA117318164,ERP160040,PRJEB75463
SAMEA117322295,ERP160040,PRJEB75463
SAMEA117314257,ERP160040,PRJEB75463
SAMEA117314505,ERP160040,PRJEB75463
SAMEA117322461,ERP160040,PRJEB75463
SAMEA117311876,ERP160040,PRJEB75463
SAMEA117322287,ERP160040,PRJEB75463
SAMEA117313352,ERP160040,PRJEB75463
SAMEA117321141,ERP160040,PRJEB75463
SAMEA117315591,ERP160040,PRJEB75463
SAMEA117313563,ERP160040,PRJEB75463
SAMEA117314552,ERP160040,PRJEB75463
SAMEA117317116,ERP160040,PRJEB75463
SAMEA117314023,ERP160040,PRJEB75463
SAMEA117317076,ERP160040,PRJEB75463
SAMEA117321900,ERP160040,PRJEB75463
SAMEA117322206,ERP160040,PRJEB75463
SAMEA117316174,ERP160040,PRJEB75463
SAMEA117318481,ERP160040,PRJEB75463
SAMEA117315414,ERP160040,PRJEB75463
SAMEA117322207,ERP160040,PRJEB75463
SAMEA117312264,ERP160040,PRJEB75463
SAMEA117319874,ERP160040,PRJEB75463
SAMEA117319741,ERP160040,PRJEB75463
SAMEA117319764,ERP160040,PRJEB75463
SAMEA117314788,ERP160040,PRJEB75463
SAMEA117320798,ERP160040,PRJEB75463
SAMEA117317548,ERP160040,PRJEB75463
SAMEA117322503,ERP160040,PRJEB75463
SAMEA117319884,ERP160040,PRJEB75463
SAMEA117317953,ERP160040,PRJEB75463
SAMEA117319918,ERP160040,PRJEB75463
SAMEA117311813,ERP160040,PRJEB75463
SAMEA117322418,ERP160040,PRJEB75463
SAMEA117312773,ERP160040,PRJEB75463
SAMEA117317591,ERP160040,PRJEB75463
SAMEA117321195,ERP160040,PRJEB75463
SAMEA117316944,ERP160040,PRJEB75463
SAMEA117313601,ERP160040,PRJEB75463
SAMEA117321955,ERP160040,PRJEB75463
SAMEA117319872,ERP160040,PRJEB75463
SAMEA117321645,ERP160040,PRJEB75463
SAMEA117315750,ERP160040,PRJEB75463
SAMEA117319438,ERP160040,PRJEB75463
SAMEA117311848,ERP160040,PRJEB75463
SAMEA117320348,ERP160040,PRJEB75463
SAMEA117319193,ERP160040,PRJEB75463
SAMEA117320547,ERP160040,PRJEB75463
SAMEA117318728,ERP160040,PRJEB75463
SAMEA117321830,ERP160040,PRJEB75463
SAMEA117320699,ERP160040,PRJEB75463
SAMEA117320940,ERP160040,PRJEB75463
SAMEA117320670,ERP160040,PRJEB75463
SAMEA117319594,ERP160040,PRJEB75463
SAMEA117319656,ERP160040,PRJEB75463
SAMEA117320703,ERP160040,PRJEB75463
SAMEA117311994,ERP160040,PRJEB75463
SAMEA117318208,ERP160040,PRJEB75463
SAMEA117320828,ERP160040,PRJEB75463
SAMEA117318018,ERP160040,PRJEB75463
SAMEA117316405,ERP160040,PRJEB75463
SAMEA117318110,ERP160040,PRJEB75463
SAMEA117321172,ERP160040,PRJEB75463
SAMEA117322555,ERP160040,PRJEB75463
SAMEA117321549,ERP160040,PRJEB75463
SAMEA117313109,ERP160040,PRJEB75463
SAMEA117322439,ERP160040,PRJEB75463
SAMEA117317227,ERP160040,PRJEB75463
SAMEA117322467,ERP160040,PRJEB75463
SAMEA117316447,ERP160040,PRJEB75463
SAMEA117316329,ERP160040,PRJEB75463
SAMEA117317720,ERP160040,PRJEB75463
SAMEA117322391,ERP160040,PRJEB75463
SAMEA117313613,ERP160040,PRJEB75463
SAMEA117318638,ERP160040,PRJEB75463
SAMEA117319910,ERP160040,PRJEB75463
SAMEA117316825,ERP160040,PRJEB75463
SAMEA117315848,ERP160040,PRJEB75463
SAMEA117318007,ERP160040,PRJEB75463
SAMEA117322314,ERP160040,PRJEB75463
SAMEA117317165,ERP160040,PRJEB75463
SAMEA117318397,ERP160040,PRJEB75463
SAMEA117312342,ERP160040,PRJEB75463
SAMEA117317872,ERP160040,PRJEB75463
SAMEA117318628,ERP160040,PRJEB75463
SAMEA117312438,ERP160040,PRJEB75463
SAMEA117321174,ERP160040,PRJEB75463
SAMEA117314517,ERP160040,PRJEB75463
SAMEA117315002,ERP160040,PRJEB75463
SAMEA117318359,ERP160040,PRJEB75463
SAMEA117315651,ERP160040,PRJEB75463
SAMEA117316977,ERP160040,PRJEB75463
SAMEA117312786,ERP160040,PRJEB75463
SAMEA117319581,ERP160040,PRJEB75463
SAMEA117311721,ERP160040,PRJEB75463
SAMEA117311954,ERP160040,PRJEB75463
SAMEA117322093,ERP160040,PRJEB75463
SAMEA117315574,ERP160040,PRJEB75463
SAMEA117316798,ERP160040,PRJEB75463
SAMEA117317399,ERP160040,PRJEB75463
SAMEA117318673,ERP160040,PRJEB75463
SAMEA117315624,ERP160040,PRJEB75463
SAMEA117322432,ERP160040,PRJEB75463
SAMEA117316994,ERP160040,PRJEB75463
SAMEA117321680,ERP160040,PRJEB75463
SAMEA117320822,ERP160040,PRJEB75463
SAMEA117311881,ERP160040,PRJEB75463
SAMEA117317850,ERP160040,PRJEB75463
SAMEA117321341,ERP160040,PRJEB75463
SAMEA117322513,ERP160040,PRJEB75463
SAMEA117312255,ERP160040,PRJEB75463
SAMEA117315062,ERP160040,PRJEB75463
SAMEA117315609,ERP160040,PRJEB75463
SAMEA117319223,ERP160040,PRJEB75463
SAMEA117321313,ERP160040,PRJEB75463
SAMEA117319782,ERP160040,PRJEB75463
SAMEA117313287,ERP160040,PRJEB75463
SAMEA117315246,ERP160040,PRJEB75463
SAMEA117314842,ERP160040,PRJEB75463
SAMEA117317771,ERP160040,PRJEB75463
SAMEA117312689,ERP160040,PRJEB75463
SAMEA117321180,ERP160040,PRJEB75463
SAMEA117322084,ERP160040,PRJEB75463
SAMEA117318272,ERP160040,PRJEB75463
SAMEA117319569,ERP160040,PRJEB75463
SAMEA117321732,ERP160040,PRJEB75463
SAMEA117317265,ERP160040,PRJEB75463
SAMEA117320003,ERP160040,PRJEB75463
SAMEA117321215,ERP160040,PRJEB75463
SAMEA117313959,ERP160040,PRJEB75463
SAMEA117321014,ERP160040,PRJEB75463
SAMEA117321670,ERP160040,PRJEB75463
SAMEA117319895,ERP160040,PRJEB75463
SAMEA117316980,ERP160040,PRJEB75463
SAMEA117320688,ERP160040,PRJEB75463
SAMEA117320984,ERP160040,PRJEB75463
SAMEA117318951,ERP160040,PRJEB75463
SAMEA117313653,ERP160040,PRJEB75463
SAMEA117321491,ERP160040,PRJEB75463
SAMEA117316817,ERP160040,PRJEB75463
SAMEA117317718,ERP160040,PRJEB75463
SAMEA117316436,ERP160040,PRJEB75463
SAMEA117318240,ERP160040,PRJEB75463
SAMEA117317313,ERP160040,PRJEB75463
SAMEA117321916,ERP160040,PRJEB75463
SAMEA117319478,ERP160040,PRJEB75463
SAMEA117314697,ERP160040,PRJEB75463
SAMEA117316073,ERP160040,PRJEB75463
SAMEA117311748,ERP160040,PRJEB75463
SAMEA117313453,ERP160040,PRJEB75463
SAMEA117321386,ERP160040,PRJEB75463
SAMEA117312297,ERP160040,PRJEB75463
SAMEA117316548,ERP160040,PRJEB75463
SAMEA117317958,ERP160040,PRJEB75463
SAMEA117321702,ERP160040,PRJEB75463
SAMEA117322185,ERP160040,PRJEB75463
SAMEA117313012,ERP160040,PRJEB75463
SAMEA117319440,ERP160040,PRJEB75463
SAMEA117318129,ERP160040,PRJEB75463
SAMEA117317575,ERP160040,PRJEB75463
SAMEA117320346,ERP160040,PRJEB75463
SAMEA117315968,ERP160040,PRJEB75463
SAMEA117319093,ERP160040,PRJEB75463
SAMEA117321149,ERP160040,PRJEB75463
SAMEA117321897,ERP160040,PRJEB75463
SAMEA117322037,ERP160040,PRJEB75463
SAMEA117319748,ERP160040,PRJEB75463
SAMEA117314242,ERP160040,PRJEB75463
SAMEA117322202,ERP160040,PRJEB75463
SAMEA117318577,ERP160040,PRJEB75463
SAMEA117317277,ERP160040,PRJEB75463
SAMEA117314493,ERP160040,PRJEB75463
SAMEA117321163,ERP160040,PRJEB75463
SAMEA117322143,ERP160040,PRJEB75463
SAMEA117313143,ERP160040,PRJEB75463
SAMEA117312262,ERP160040,PRJEB75463
SAMEA117322052,ERP160040,PRJEB75463
SAMEA117315188,ERP160040,PRJEB75463
SAMEA117314641,ERP160040,PRJEB75463
SAMEA117315244,ERP160040,PRJEB75463
SAMEA117317918,ERP160040,PRJEB75463
SAMEA117318059,ERP160040,PRJEB75463
SAMEA117320805,ERP160040,PRJEB75463
SAMEA117312685,ERP160040,PRJEB75463
SAMEA117318870,ERP160040,PRJEB75463
SAMEA117315161,ERP160040,PRJEB75463
SAMEA117316309,ERP160040,PRJEB75463
SAMEA117316449,ERP160040,PRJEB75463
SAMEA117320516,ERP160040,PRJEB75463
SAMEA117322110,ERP160040,PRJEB75463
SAMEA117322464,ERP160040,PRJEB75463
SAMEA117315530,ERP160040,PRJEB75463
SAMEA117314039,ERP160040,PRJEB75463
SAMEA117318229,ERP160040,PRJEB75463
SAMEA117319426,ERP160040,PRJEB75463
SAMEA117316143,ERP160040,PRJEB75463
SAMEA117318343,ERP160040,PRJEB75463
SAMEA117316028,ERP160040,PRJEB75463
SAMEA117320536,ERP160040,PRJEB75463
SAMEA117320444,ERP160040,PRJEB75463
SAMEA117317312,ERP160040,PRJEB75463
SAMEA117319096,ERP160040,PRJEB75463
SAMEA117314734,ERP160040,PRJEB75463
SAMEA117314739,ERP160040,PRJEB75463
SAMEA117316438,ERP160040,PRJEB75463
SAMEA117320975,ERP160040,PRJEB75463
SAMEA117315037,ERP160040,PRJEB75463
SAMEA117321075,ERP160040,PRJEB75463
SAMEA117315359,ERP160040,PRJEB75463
SAMEA117320643,ERP160040,PRJEB75463
SAMEA117322397,ERP160040,PRJEB75463
SAMEA117319822,ERP160040,PRJEB75463
SAMEA117317727,ERP160040,PRJEB75463
SAMEA117320101,ERP160040,PRJEB75463
SAMEA117322246,ERP160040,PRJEB75463
SAMEA117314464,ERP160040,PRJEB75463
SAMEA117321485,ERP160040,PRJEB75463
SAMEA117318414,ERP160040,PRJEB75463
SAMEA117321827,ERP160040,PRJEB75463
SAMEA117312585,ERP160040,PRJEB75463
SAMEA117318636,ERP160040,PRJEB75463
SAMEA117314594,ERP160040,PRJEB75463
SAMEA117316924,ERP160040,PRJEB75463
SAMEA117317886,ERP160040,PRJEB75463
SAMEA117320725,ERP160040,PRJEB75463
SAMEA117320279,ERP160040,PRJEB75463
SAMEA117321222,ERP160040,PRJEB75463
SAMEA117320262,ERP160040,PRJEB75463
SAMEA117322500,ERP160040,PRJEB75463
SAMEA117314745,ERP160040,PRJEB75463
SAMEA117318858,ERP160040,PRJEB75463
SAMEA117319567,ERP160040,PRJEB75463
SAMEA117315607,ERP160040,PRJEB75463
SAMEA117321448,ERP160040,PRJEB75463
SAMEA117321620,ERP160040,PRJEB75463
SAMEA117320541,ERP160040,PRJEB75463
SAMEA117320697,ERP160040,PRJEB75463
SAMEA117317280,ERP160040,PRJEB75463
SAMEA117321867,ERP160040,PRJEB75463
SAMEA117320147,ERP160040,PRJEB75463
SAMEA117313343,ERP160040,PRJEB75463
SAMEA117313291,ERP160040,PRJEB75463
SAMEA117314063,ERP160040,PRJEB75463
SAMEA117317906,ERP160040,PRJEB75463
SAMEA117319479,ERP160040,PRJEB75463
SAMEA117314976,ERP160040,PRJEB75463
SAMEA117316690,ERP160040,PRJEB75463
SAMEA117319720,ERP160040,PRJEB75463
SAMEA117321023,ERP160040,PRJEB75463
SAMEA117321874,ERP160040,PRJEB75463
SAMEA117318939,ERP160040,PRJEB75463
SAMEA117321714,ERP160040,PRJEB75463
SAMEA117312535,ERP160040,PRJEB75463
SAMEA117319471,ERP160040,PRJEB75463
SAMEA117317193,ERP160040,PRJEB75463
SAMEA117316847,ERP160040,PRJEB75463
SAMEA117315410,ERP160040,PRJEB75463
SAMEA117319137,ERP160040,PRJEB75463
SAMEA117312266,ERP160040,PRJEB75463
SAMEA117314293,ERP160040,PRJEB75463
SAMEA117318892,ERP160040,PRJEB75463
SAMEA117312030,ERP160040,PRJEB75463
SAMEA117319263,ERP160040,PRJEB75463
SAMEA117321120,ERP160040,PRJEB75463
SAMEA117312178,ERP160040,PRJEB75463
SAMEA117321218,ERP160040,PRJEB75463
SAMEA117322070,ERP160040,PRJEB75463
SAMEA117320740,ERP160040,PRJEB75463
SAMEA117320545,ERP160040,PRJEB75463
SAMEA117314125,ERP160040,PRJEB75463
SAMEA117316865,ERP160040,PRJEB75463
SAMEA117320961,ERP160040,PRJEB75463
SAMEA117314231,ERP160040,PRJEB75463
SAMEA117317682,ERP160040,PRJEB75463
SAMEA117313263,ERP160040,PRJEB75463
SAMEA117313555,ERP160040,PRJEB75463
SAMEA117320856,ERP160040,PRJEB75463
SAMEA117316694,ERP160040,PRJEB75463
SAMEA117318029,ERP160040,PRJEB75463
SAMEA117319474,ERP160040,PRJEB75463
SAMEA117321560,ERP160040,PRJEB75463
SAMEA117312941,ERP160040,PRJEB75463
SAMEA117318538,ERP160040,PRJEB75463
SAMEA117312483,ERP160040,PRJEB75463
SAMEA117314596,ERP160040,PRJEB75463
SAMEA117320844,ERP160040,PRJEB75463
SAMEA117311710,ERP160040,PRJEB75463
SAMEA117320133,ERP160040,PRJEB75463
SAMEA117315079,ERP160040,PRJEB75463
SAMEA117320614,ERP160040,PRJEB75463
SAMEA117314573,ERP160040,PRJEB75463
SAMEA117320278,ERP160040,PRJEB75463
SAMEA117318878,ERP160040,PRJEB75463
SAMEA117320914,ERP160040,PRJEB75463
SAMEA117316543,ERP160040,PRJEB75463
SAMEA117318587,ERP160040,PRJEB75463
SAMEA117317030,ERP160040,PRJEB75463
SAMEA117317347,ERP160040,PRJEB75463
SAMEA117317145,ERP160040,PRJEB75463
SAMEA117317916,ERP160040,PRJEB75463
SAMEA117316749,ERP160040,PRJEB75463
SAMEA117314613,ERP160040,PRJEB75463
SAMEA117322090,ERP160040,PRJEB75463
SAMEA117318445,ERP160040,PRJEB75463
SAMEA117318314,ERP160040,PRJEB75463
SAMEA117318030,ERP160040,PRJEB75463
SAMEA117317419,ERP160040,PRJEB75463
SAMEA117314767,ERP160040,PRJEB75463
SAMEA117316335,ERP160040,PRJEB75463
SAMEA117312306,ERP160040,PRJEB75463
SAMEA117314134,ERP160040,PRJEB75463
SAMEA117313883,ERP160040,PRJEB75463
SAMEA117318214,ERP160040,PRJEB75463
SAMEA117320221,ERP160040,PRJEB75463
SAMEA117312843,ERP160040,PRJEB75463
SAMEA117313827,ERP160040,PRJEB75463
SAMEA117314968,ERP160040,PRJEB75463
SAMEA117318525,ERP160040,PRJEB75463
SAMEA117321016,ERP160040,PRJEB75463
SAMEA117321499,ERP160040,PRJEB75463
SAMEA117312839,ERP160040,PRJEB75463
SAMEA117317245,ERP160040,PRJEB75463
SAMEA117320074,ERP160040,PRJEB75463
SAMEA117321882,ERP160040,PRJEB75463
SAMEA117317138,ERP160040,PRJEB75463
SAMEA117317220,ERP160040,PRJEB75463
SAMEA117318982,ERP160040,PRJEB75463
SAMEA117316738,ERP160040,PRJEB75463
SAMEA117321728,ERP160040,PRJEB75463
SAMEA117318682,ERP160040,PRJEB75463
SAMEA117321366,ERP160040,PRJEB75463
SAMEA117317937,ERP160040,PRJEB75463
SAMEA117319358,ERP160040,PRJEB75463
SAMEA117312850,ERP160040,PRJEB75463
SAMEA117313807,ERP160040,PRJEB75463
SAMEA117319300,ERP160040,PRJEB75463
SAMEA117319306,ERP160040,PRJEB75463
SAMEA117318266,ERP160040,PRJEB75463
SAMEA117317808,ERP160040,PRJEB75463
SAMEA117311872,ERP160040,PRJEB75463
SAMEA117317526,ERP160040,PRJEB75463
SAMEA117320686,ERP160040,PRJEB75463
SAMEA117320848,ERP160040,PRJEB75463
SAMEA117317432,ERP160040,PRJEB75463
SAMEA117317679,ERP160040,PRJEB75463
SAMEA117317828,ERP160040,PRJEB75463
SAMEA117320794,ERP160040,PRJEB75463
SAMEA117316801,ERP160040,PRJEB75463
SAMEA117314986,ERP160040,PRJEB75463
SAMEA117318170,ERP160040,PRJEB75463
SAMEA117319305,ERP160040,PRJEB75463
SAMEA117320604,ERP160040,PRJEB75463
SAMEA117315101,ERP160040,PRJEB75463
SAMEA117314138,ERP160040,PRJEB75463
SAMEA117322189,ERP160040,PRJEB75463
SAMEA117312487,ERP160040,PRJEB75463
SAMEA117320380,ERP160040,PRJEB75463
SAMEA117320997,ERP160040,PRJEB75463
SAMEA117316809,ERP160040,PRJEB75463
SAMEA117321782,ERP160040,PRJEB75463
SAMEA117321996,ERP160040,PRJEB75463
SAMEA117312432,ERP160040,PRJEB75463
SAMEA117311717,ERP160040,PRJEB75463
SAMEA117318630,ERP160040,PRJEB75463
SAMEA117320162,ERP160040,PRJEB75463
SAMEA117317646,ERP160040,PRJEB75463
SAMEA117318438,ERP160040,PRJEB75463
SAMEA117321357,ERP160040,PRJEB75463
SAMEA117315097,ERP160040,PRJEB75463
SAMEA117322177,ERP160040,PRJEB75463
SAMEA117320840,ERP160040,PRJEB75463
SAMEA117320727,ERP160040,PRJEB75463
SAMEA117321504,ERP160040,PRJEB75463
SAMEA117313776,ERP160040,PRJEB75463
SAMEA117318614,ERP160040,PRJEB75463
SAMEA117319510,ERP160040,PRJEB75463
SAMEA117317741,ERP160040,PRJEB75463
SAMEA117316613,ERP160040,PRJEB75463
SAMEA117320476,ERP160040,PRJEB75463
SAMEA117320222,ERP160040,PRJEB75463
SAMEA117318408,ERP160040,PRJEB75463
SAMEA117313820,ERP160040,PRJEB75463
SAMEA117317271,ERP160040,PRJEB75463
SAMEA117314768,ERP160040,PRJEB75463
SAMEA117317135,ERP160040,PRJEB75463
SAMEA117319127,ERP160040,PRJEB75463
SAMEA117321530,ERP160040,PRJEB75463
SAMEA117320628,ERP160040,PRJEB75463
SAMEA117318802,ERP160040,PRJEB75463
SAMEA117314713,ERP160040,PRJEB75463
SAMEA117316956,ERP160040,PRJEB75463
SAMEA117319058,ERP160040,PRJEB75463
SAMEA117321419,ERP160040,PRJEB75463
SAMEA117312333,ERP160040,PRJEB75463
SAMEA117320872,ERP160040,PRJEB75463
SAMEA117320132,ERP160040,PRJEB75463
SAMEA117317026,ERP160040,PRJEB75463
SAMEA117320758,ERP160040,PRJEB75463
SAMEA117314606,ERP160040,PRJEB75463
SAMEA117314314,ERP160040,PRJEB75463
SAMEA117322239,ERP160040,PRJEB75463
SAMEA117312360,ERP160040,PRJEB75463
SAMEA117316576,ERP160040,PRJEB75463
SAMEA117317876,ERP160040,PRJEB75463
SAMEA117319212,ERP160040,PRJEB75463
SAMEA117316060,ERP160040,PRJEB75463
SAMEA117313471,ERP160040,PRJEB75463
SAMEA117317489,ERP160040,PRJEB75463
SAMEA117318721,ERP160040,PRJEB75463
SAMEA117317562,ERP160040,PRJEB75463
SAMEA117322387,ERP160040,PRJEB75463
SAMEA117315805,ERP160040,PRJEB75463
SAMEA117312213,ERP160040,PRJEB75463
SAMEA117316838,ERP160040,PRJEB75463
SAMEA117317612,ERP160040,PRJEB75463
SAMEA117322121,ERP160040,PRJEB75463
SAMEA117313242,ERP160040,PRJEB75463
SAMEA117314316,ERP160040,PRJEB75463
SAMEA117312797,ERP160040,PRJEB75463
SAMEA117321293,ERP160040,PRJEB75463
SAMEA117316362,ERP160040,PRJEB75463
SAMEA117317465,ERP160040,PRJEB75463
SAMEA117322301,ERP160040,PRJEB75463
SAMEA117320216,ERP160040,PRJEB75463
SAMEA117320457,ERP160040,PRJEB75463
SAMEA117317189,ERP160040,PRJEB75463
SAMEA117319148,ERP160040,PRJEB75463
SAMEA117317587,ERP160040,PRJEB75463
SAMEA117320148,ERP160040,PRJEB75463
SAMEA117315821,ERP160040,PRJEB75463
SAMEA117315667,ERP160040,PRJEB75463
SAMEA117319853,ERP160040,PRJEB75463
SAMEA117317285,ERP160040,PRJEB75463
SAMEA117314938,ERP160040,PRJEB75463
SAMEA117319551,ERP160040,PRJEB75463
SAMEA117317118,ERP160040,PRJEB75463
SAMEA117318352,ERP160040,PRJEB75463
SAMEA117316929,ERP160040,PRJEB75463
SAMEA117311785,ERP160040,PRJEB75463
SAMEA117320116,ERP160040,PRJEB75463
SAMEA117317433,ERP160040,PRJEB75463
SAMEA117320119,ERP160040,PRJEB75463
SAMEA117317236,ERP160040,PRJEB75463
SAMEA117317908,ERP160040,PRJEB75463
SAMEA117319886,ERP160040,PRJEB75463
SAMEA117312854,ERP160040,PRJEB75463
SAMEA117313670,ERP160040,PRJEB75463
SAMEA117319556,ERP160040,PRJEB75463
SAMEA117320468,ERP160040,PRJEB75463
SAMEA117321914,ERP160040,PRJEB75463
SAMEA117320676,ERP160040,PRJEB75463
SAMEA117321107,ERP160040,PRJEB75463
SAMEA117317298,ERP160040,PRJEB75463
SAMEA117319210,ERP160040,PRJEB75463
SAMEA117318694,ERP160040,PRJEB75463
SAMEA117319893,ERP160040,PRJEB75463
SAMEA117322181,ERP160040,PRJEB75463
SAMEA117318616,ERP160040,PRJEB75463
SAMEA117319746,ERP160040,PRJEB75463
SAMEA117316322,ERP160040,PRJEB75463
SAMEA117315151,ERP160040,PRJEB75463
SAMEA117322361,ERP160040,PRJEB75463
SAMEA117318458,ERP160040,PRJEB75463
SAMEA117313900,ERP160040,PRJEB75463
SAMEA117322205,ERP160040,PRJEB75463
SAMEA117316830,ERP160040,PRJEB75463
SAMEA117319970,ERP160040,PRJEB75463
SAMEA117313469,ERP160040,PRJEB75463
SAMEA117313329,ERP160040,PRJEB75463
SAMEA117317225,ERP160040,PRJEB75463
SAMEA117320158,ERP160040,PRJEB75463
SAMEA117320446,ERP160040,PRJEB75463
SAMEA117315622,ERP160040,PRJEB75463
SAMEA117322371,ERP160040,PRJEB75463
SAMEA117312525,ERP160040,PRJEB75463
SAMEA117315216,ERP160040,PRJEB75463
