study_name	sample_id	subject_id	target_condition	target_condition_ontology_term_id	host_species	host_species_ontology_term_id	body_site	body_site_ontology_term_id	control	control_ontology_term_id	age	age_unit	age_unit_ontology_term_id	sex	sex_ontology_term_id	curator	sequencing_platform	pmid	country	location	westernized	ncbi_accession
SampsonTR_2025	hSCATG039AM7_12MTH_07082020	hSCATG039AM7	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13427	Study Control	NCIT:C142703	12	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674814
SampsonTR_2025	hSCATG039AM6_6MTH_01082020	hSCATG039AM6	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13428	Study Control	NCIT:C142703	6	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674815
SampsonTR_2025	hSCATG039AM6_3MTH_10082019	hSCATG039AM6	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13429	Study Control	NCIT:C142703	3	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674816
SampsonTR_2025	hSCATG020AM1_6MTH_12032019	hSCATG020AM1	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13430	Study Control	NCIT:C142703	6	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674817
SampsonTR_2025	hSCATG036AM3_6MTH_01022020	hSCATG036AM3	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13431	Study Control	NCIT:C142703	6	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674818
SampsonTR_2025	hSCATG034AM3_6MTH_01022020	hSCATG034AM3	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13432	Study Control	NCIT:C142703	6	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674828
SampsonTR_2025	hSCATG034AM3_3MTH_10032019	hSCATG034AM3	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13433	Study Control	NCIT:C142703	3	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674829
SampsonTR_2025	hSCATG025AM2_12MTH_06112020	hSCATG025AM2	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13434	Study Control	NCIT:C142703	12	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674835
SampsonTR_2025	hSCATG023AM3_6MTH_12162019	hSCATG023AM3	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13435	Study Control	NCIT:C142703	6	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674836
SampsonTR_2025	hSCATG053AM1_3MTH_02192020	hSCATG053AM1	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13436	Case	NCIT:C49152	3	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674849
